address,city,country,state,name,lon,lat
2616 Third Ave South,Birmingham,USA,AL,Cahaba Brewing,-86.79376,33.51456
2406 Clinton Avenue West,Huntsville,USA,AL,Yellowhammer Brewery,-86.6037,34.72253
225 Dauphin St,Mobile,USA,AL,Hurricane Brewing Company,-88.0434,30.69135
2216 University Blvd,Tuscaloosa,USA,AL,Black Warrior Brewing Co,-87.566349,33.21076
220 Holmes Ave NE,Huntsville,USA,AL,Below the Radar Brewing,-86.58566,34.73316
216 First Avenue SE,Cullman,USA,AL,Blue Moose Cafe & Brewpub,-86.84189,34.1769
214 Main Street,Madison,USA,AL,Madison Station Brewery & Cafe,-86.74858,34.69381
212 Main St,Madison,USA,AL,Old Black Bear Brewing,-86.74832,34.69336
206 Eustis Ave,Huntsville,USA,AL,Green Bus Brewing,-86.5839,34.73006
201 East Side Square #11,Huntsville,USA,AL,Old Black Bear Brewing,-86.58474,34.73089
201 41st Street South,Birmingham,USA,AL,Avondale Brewing,-86.77408,33.52456
200 North 6th St,Gadsden,USA,AL,Back Forty Beer Co,-86.00552,34.01565
1646 John H Cooper Dr SE,Cullman,USA,AL,Goat Island Brewing,-86.81833,34.14128
16 Public Square West #1,Jacksonville,USA,AL,Joe Beer Hand Crafted Ales,-85.7619,33.8138
153 Mary Lou Lane,Dotham,USA,AL,Folklore Brewing and Meadery,-85.3948,31.1487
1283 Newell Parkway,Montgomery,USA,AL,Crazy Dane Brewing,-86.26013,32.41409
124 Tichenor Avenue,Auburn,USA,AL,Olde Auburn Ale House,-85.48127,32.60832
1208 Walnut Ave,Anniston,USA,AL,Cheaha Brewing,-85.83359,33.65985
12 West Jefferson St,Montgomery,USA,AL,Railyard Brewing,-86.309542,32.3811
114 14th Street South,Birmingham,USA,AL,Good People Brewing Co,-86.81189,33.50713
112 14th St South,Birmingham,USA,AL,Beer Engineers,-86.81245,33.50736
109 Maple Ave NW,Huntsville,USA,AL,The Brew Stooges,-86.58525,34.74624
1041 Broadway,Columbus,USA,AL,Cannon Brewpub,-84.99338,32.46561
Fayetteville AR,Plan,USA,AR,Dark Hills Brewery,-94.15792,36.0632
923 W Seventh St,Little Rock,USA,AR,Vino's Brewpub,-92.2813,34.74351
8091 Airport Rd,Bonnerdale,USA,AR,Bubba Brews Sports Pub & Grill,-93.32945,34.412073
700 East 9th St #1,Little Rock,USA,AR,Flyway Brewing,-92.26411,34.73973
600 N. Broadway St,North Little Rock,USA,AR,Diamond Bear Brewing,-92.27226,34.75927
501 Byrd St,Little Rock,USA,AR,Lost Forty Brewing,-92.26011,34.74296
500 President Clinton Ave,Little Rock,USA,AR,Boscos Little Rock Brewing,-92.26551,34.74744
430 West Dickson St,Fayetteville,USA,AR,Hog Haus Brewing,-94.16459,36.06642
425 East Third St,Little Rock,USA,AR,Blue Canoe Brewing Co,-92.26681,34.7456
410 SW A St,Bentonville,USA,AR,Bike Rack Brewing Co,-94.21088,36.367276
402 East 9th St,Little Rock,USA,AR,Stones Throw Brewing,-92.26803,34.73988
329 Central Ave,Hot Springs,USA,AR,Superior Bathhouse Brewery,-93.05354,34.51488
3000 South Jefferson,Saint Louis,USA,AR,Mattingly's Brewing Co,-90.22378,35.59983
2470 Lowell Road #A3,Springdale,USA,AR,Core Brewing and Distilling,-94.133478,36.20629
2221 Cedar Street,Little Rock,USA,AR,Refined Ale Brewery,-92.31854,34.73102
213 Main St,Texarkana,USA,AR,Pecan Point Brewing,-94.044122,33.42104
21 West Mountain St,Fayetteville,USA,AR,Tiny Tim's Pizza & West Mountain Brewing,-94.16034,36.06162
1946 North Birch Ave,Fayetteville,USA,AR,Fossil Cove Brewing,-94.165,36.08812
18244 Habberton Road,Springdale,USA,AR,Saddlebock Brewery,-94.06031,36.13029
1700 South 1st St,Rogers,USA,AR,Ozark Beer Co,-94.11782,36.31683
1550 East Zion Rd,Fayetteville,USA,AR,Apple Blossom Brewing,-94.11768,36.131974
1431 South School Ave,Fayetteville,USA,AR,Tanglewood Branch Beer Co.,-94.16434,36.04885
12577 Blueberry Lane,Lowell,USA,AR,Dark Hills Brewery,-94.0464,36.24152
11512 Highway 14 East,Big Flat,USA,AR,Gravity Brew Works,-92.39826,35.970246
10618 Ervin McGarrah Road,Lowell,USA,AR,BensBrew  LLC,-94.05664,36.27632
1000-A SE 5th St,Bentonville,USA,AR,Bentonville Brewing,-94.198234,36.3671
9748 West Northern Ave,Peoria,USA,AZ,BJ's Restaurant & Brewhouse,-112.26699,33.55158
9614 South Placita de la Casita,Vail,USA,AZ,1912 Brewing,-110.70092,32.00053
9299 West Olive Ave #513,Peoria,USA,AZ,Freak'N Brewing,-112.25895,33.56313
9212 East Tanque Verde Road #105,Tucson,USA,AZ,Tucson Brewing and Trading Co,-110.79569,32.25694
8763 East Bell Road #101,Scottsdale,USA,AZ,Oggi's Pizza and Brewing,-111.89167,33.64
8668 East Shea Blvd,North Scottsdale AZ (602)998-7,USA,AZ,Rock Bottom Restaurant & Brewery,-111.87395,33.58246
865 E. University Blvd,Tucson,USA,AZ,Gentle Ben's Brewing,-110.9585,32.23184
8608 East Shea Blvd,Scottsdale,USA,AZ,Scottsdale Beer Co,-111.89274,33.58221
850 South Ironwood Dr,Apache Junction,USA,AZ,Underground Brew Factory,-111.56396,33.40729
825 North Seventh St,Phoenix,USA,AZ,Mother Bunch Brewing,-112.06483,33.45733
800 East 16th St,Tucson,USA,AZ,Barrio Brewing,-110.95924,32.21469
8 South San Marcos Plaza,Chandler,USA,AZ,SanTan Brewing,-111.84551,33.30459
7640 West Bell Rd,Glendale,USA,AZ,Rock Bottom Restaurant & Brewery,-112.22331,33.63831
7401 North La Cholla Boulevard,Tucson,USA,AZ,Thunder Canyon Brewery,-111.01281,32.34057
7337 East Shea Blvd Suite 105,Scottsdale,USA,AZ,Fate Brewing,-111.92366,33.58179
730 South Mill Ave #H102,Tempe,USA,AZ,Pedal Haus Brewery,-111.94169,33.42295
721 North Arizona Ave #103,Gilbert,USA,AZ,Arizona Wilderness Brewing,-111.84111,33.36302
7107 E McDowell Rd,Scottsdale,USA,AZ,Papago Brewing,-111.92605,33.46566
7 South Mikes Pike,Flagstaff,USA,AZ,Mother Road Brewing,-111.65212,35.19692
6918 North Camino Martin,Marana,USA,AZ,Catalina Brewing,-111.0574,32.33547
6681 W. Beardsley Rd,Glendale,USA,AZ,Oggi's Pizza and Brewing,-112.20164,33.66726
6245 E Cave Creek Rd,Cave Creek,USA,AZ,Black Mountain Brewing,-111.9452,33.83186
522 East Dunlap Ave,Phoenix,USA,AZ,North Mountain Brewing,-112.06647,33.56806
502 S. College Ave # 103,Tempe,USA,AZ,Mad Hatter Brew Pub,-111.94041,33.42546
5 South San Francisco St,Flagstaff,USA,AZ,Lumberyard Brewing,-111.64871,35.1968
495 East Warner Road,Chandler,USA,AZ,SanTan Brewing #2,-111.8336,33.33434
4921 East Ray Road # 103,Phoenix,USA,AZ,Uncle Bear's Brewhouse Grill,-111.97652,33.31724
4900 East Indian School Rd,Phoenix,USA,AZ,O.H.S.O. Eatery & nanoBrewery,-111.9759,33.49502
4746 East Grant Road,Tucson,USA,AZ,Sentinel Peak Brewing,-110.95527,32.24986
4621 North 11th Place,Phoenix,USA,AZ,Helton Brewing Co,-112.05707,33.50461
4366 Huntington Dr,Flagstaff,USA,AZ,Mogollon Brewing,-111.58626,35.2187
4366 E. Huntington Dr,Flagstaff,USA,AZ,Historic Brewing,-111.58663,35.21856
4270 North Oracle Road,Tucson,USA,AZ,BJ's Restaurant & Brewhouse,-110.97811,32.28412
4230 North Oracle Road #100,Tucson,USA,AZ,Jalopys Grillville & Micro Brewery,-110.97674,32.28343
4216 North Brown Ave,Scottsdale,USA,AZ,Bad Water Brewing,-111.92451,33.49728
421 East Beale St,Kingman,USA,AZ,Black Bridge Brewery,-114.05194,35.18955
420 S Mill Ave #201,Tempe,USA,AZ,Gordon Biersch Brewing,-111.93998,33.42862
414 North 5th Ave,Tucson,USA,AZ,Corbet Brewing,-110.96709,32.2266
4050 North Tonto Rd,Skull Valley,USA,AZ,Barnstar Brewing,-112.66687,34.60746
404 South Mill Ave,Tempe,USA,AZ,Blasted Barley Beer Co,-111.94083,33.42675
3850 East 44th St #138,Tucson,USA,AZ,Nimbus Brewing,-110.91123,32.18529
3810 East 44th St,Tucson,USA,AZ,Ten 55 Brewing,-110.91182,32.18519
366 Hiway 179,Sed,USA,AZ,Oak Creek Brewery and Grill,-111.76181,34.86112
3608 North Scottsdale Rd,Scottsdale,USA,AZ,Goldwater Brewing Co,-111.92635,33.48978
348 South Main St,Camp Verde,USA,AZ,Verde Brewing,-111.85505,34.56498
334 North 25th Ave,Phoenix,USA,AZ,Old World Brewery,-112.11326,33.45249
3270 North Highway 87,Pine,USA,AZ,THAT Brewery & Pub,-111.4531,34.38286
322 E Camelback Rd,Phoenix,USA,AZ,SunUp Brewery,-112.06866,33.50954
3155 West Chandler Boulevard,Chandler,USA,AZ,BJ's Restaurant & Brewery,-111.90042,33.30556
3002 East Washington St,Phoenix,USA,AZ,The Phoenix Ale Brewery,-112.01698,33.44821
300-B East Cherry St,Cottonwood,USA,AZ,THAT Brewery,-112.02502,34.7338
