TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,10751,10751,1,Maralal,Maralal,National Sanctuary,National Sanctuary,National,IV,Not Applicable,0,0,0,250,171.074226962182,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,KE-700,KEN,KEN
Polygon,2295,2295,1,Buffalo Springs,Buffalo Springs,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,131,126.400432205515,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,2433,2433,1,Mwea,Mwea,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,68.03,65.2955052351943,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,2298,2298,1,Samburu,Samburu,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,165,168.908302131905,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,KE-700,KEN,KEN
Polygon,7668,7668,1,Mukogodo,Mukogodo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,299.31,310.542901616529,Not Applicable,0,Designated,1937,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,KE-700,KEN,KEN
Polygon,2590,2590,1,South Kitui,South Kitui,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,1833,1954.97878636905,Not Applicable,0,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,2427,2427,1,Shaba,Shaba,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,239.1,239.79517040426,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,7649,7649,1,Mathews Range,Mathews Range,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,973.92,972.809799828139,Not Applicable,0,Designated,1956,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,KE-700,KEN,KEN
Polygon,555555493,555555493,1,Makurian (Oreteti),Makurian,Group Ranch,Group Ranch,National,Not Reported,Not Applicable,0,0,0,64.64,66.7146580370692,Not Applicable,0,Designated,2010,Local communities,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555494,555555494,1,Borana,Borana,Private Ranch,Private Ranch,National,Not Reported,Not Applicable,0,0,0,141,119.609070220542,Not Applicable,0,Designated,1990,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,17825,17825,1,Solio Ranch and Rhino Sanctuary,Solio Ranch,Private Ranch,Private Ranch,National,Not Reported,Not Applicable,0,0,0,200,237.584738826812,Not Applicable,0,Designated,1970,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,KE-700,KEN,KEN
Polygon,62221,62221,1,Laikipia,Laikipia,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,165,166.842619661002,Not Applicable,0,Designated,1991,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,KE-700,KEN,KEN
Polygon,555555515,555555515,1,Motorogi,Motorogi,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,54.66,63.7385621615415,Not Applicable,0,Designated,2006,Local communities,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,7657,7657,1,Molo,Molo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,9.15,8.45147570050314,Not Applicable,0,Designated,1932,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,555555495,555555495,1,Loisaba Wilderness,Loisaba Wilderness,Private Ranch,Private Ranch,National,Not Reported,Not Applicable,0,0,0,150,173.981715546093,Not Applicable,0,Designated,2000,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555499,555555499,1,Ol Pejeta,Ol Pejeta,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,364,372.069005821314,Not Applicable,0,Designated,2004,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555516,555555516,1,Ol Chorro Oiroua,Ol Chorro Oiroua,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,68.79,53.7319925080139,Not Applicable,0,Designated,2010,Local communities,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555501,555555501,1,Laikipia,Laikipia,National Park,National Park,National,Not Reported,Not Applicable,0,0,0,69.2,70.078718952677,Not Applicable,0,Designated,2011,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555502,555555502,1,Mugie,Mugie,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,198,186.404360656689,Not Applicable,0,Designated,1970,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,7699,7699,1,Nyeri,Nyeri,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,12.14,12.0156205467178,Not Applicable,0,Designated,1932,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,759,759,1,Shimba Hills,Shimba Hills,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,192.51,225.253524815097,Not Applicable,0,Designated,1968,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-300,KEN,KEN
Polygon,756,756,1,Aberdare,Aberdare,National Park,National Park,National,II,Not Applicable,0,0,0,766.19,773.545276907172,Not Applicable,0,Designated,1950,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,33435,33435,1,Aberdare,Aberdare,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1033.16,951.121845758985,Not Applicable,0,Designated,1943,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,757,757,1,Mount Kenya,Mount Kenya,National Park,National Park,National,II,Not Applicable,0,0,0,589.67,596.111697303533,Not Applicable,0,Designated,1949,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,7661,7661,1,Mount Kenya,Mount Kenya,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,2009.74,2131.63658255288,Not Applicable,0,Designated,1943,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555512,555555512,1,Lemek,Lemek,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,68.6,62.3920839146306,Not Applicable,0,Designated,1995,Local communities,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555513,555555513,1,Mara North,Mara North,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,309.55,335.673542428065,Not Applicable,0,Designated,2009,Local communities,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555514,555555514,1,Olare Orok,Olare Orok,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,97.2,111.705158025993,Not Applicable,0,Designated,2006,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,760,760,1,Mount Elgon,Mount Elgon,National Park,National Park,National,II,Not Applicable,0,0,0,169.23,104.945547357058,Not Applicable,0,Designated,1968,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-700,KEN,KEN
Polygon,7667,7667,1,Mukobe,Mukobe,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.47,7.59614723673316,Not Applicable,0,Designated,1962,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,555555517,555555517,1,Ol Kinyei,Ol Kinyei,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,34.4,30.4841781184557,Not Applicable,0,Designated,2005,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,555555518,555555518,1,Naboisho,Naboisho,Community Conservancy,Community Conservancy,National,Not Reported,Not Applicable,0,0,0,206.28,210.575587194717,Not Applicable,0,Designated,2010,Non-profit organisations,Not Reported,Not Reported,Not Reported,Not Reported,1714,Not Reported,KEN,KEN
Polygon,753,753,1,Marsabit,Marsabit,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,1554,1901.3100114015,Not Applicable,0,Designated,1949,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,761,761,1,Nairobi,Nairobi,National Park,National Park,National,II,Not Applicable,0,0,0,117.21,66.4018751926743,Not Applicable,0,Designated,1946,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-110,KEN,KEN
Polygon,7546,7546,1,Cheboit,Cheboit,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,25.27,25.0190782566004,Not Applicable,0,Proposed,0,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,754,754,1,Sibiloi,Sibiloi,National Park,National Park,National,II,Not Applicable,0,0,0,1570.85,1471.42906778436,Not Applicable,0,Designated,1973,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,755,755,1,Meru,Meru,National Park,National Park,National,II,Not Applicable,0,0,0,870.44,853.42373137967,Not Applicable,0,Designated,1966,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,7560,7560,1,Gogoni,Gogoni,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.24,7.86764734666485,Not Applicable,0,Designated,1932,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-300,KEN,KEN
Polygon,762,762,1,Lake Nakuru,Lake Nakuru,National Park,National Park,National,II,Not Applicable,0,0,0,188,187.646057800426,Not Applicable,0,Designated,1967,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-700,KEN,KEN
Polygon,764,764,1,Ol Donyo Sabuk,Ol Donyo Sabuk,National Park,National Park,National,II,Not Applicable,0,0,0,18.42,33.6124698666225,Not Applicable,0,Designated,1967,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,1297,1297,1,Masai Mara,Masai Mara,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,1510,1773.50566408284,Not Applicable,0,Designated,1974,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-700,KEN,KEN
Polygon,2296,2296,1,Ruma,Ruma,National Park,National Park,National,II,Not Applicable,0,0,0,120,125.80532149832,Not Applicable,0,Designated,1983,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-600,KEN,KEN
Polygon,2299,2299,1,Tana River Primate,Tana River Primate,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,169,110.555174273458,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-300,KEN,KEN
Polygon,7561,7561,1,Gonja,Gonja,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.61,3.1397527271536,Not Applicable,0,Designated,1961,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-300,KEN,KEN
Polygon,7564,7564,1,Jombo,Jombo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.87,3.69701008383389,Not Applicable,0,Designated,1941,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-300,KEN,KEN
Polygon,2415,2415,1,Losai,Losai,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,1806.8,1584.72414549959,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,2416,2416,1,Kora,Kora,National Park,National Park,National,II,Not Applicable,0,0,0,1787.8,1654.58616458845,Not Applicable,0,Designated,1989,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-300,KEN,KEN
Polygon,2417,2417,1,Boni,Boni,National Reserve,National Reserve,National,Not Reported,Not Applicable,0,0,0.014151,1339,1351.7171255528,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1068,KE-500,KEN,KEN
Polygon,7565,7565,1,Kabarak,Kabarak,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,13.95,14.6653213492114,Not Applicable,0,Designated,1962,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,2418,2418,1,Rahole,Rahole,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,1270,1231.42331699946,Not Applicable,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-500,KEN,KEN
Polygon,2419,2419,1,South Turkana,South Turkana,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,1091,1046.39849298242,Not Applicable,0,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-700,KEN,KEN
Polygon,2422,2422,1,Bisanadi,Bisanadi,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,606,705.4059745367,Not Applicable,0,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,2423,2423,1,Arawale,Arawale,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,533.24,451.938647195671,Not Applicable,0,Designated,1974,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-500,KEN,KEN
